he-name/HIP,magnitude,ra_hours,dec_degrees,epoch_year,parallax_mas,ra_mas_per_year,dec_mas_per_year,en-name/HIP
סִיריוּס,-1.44,6.752569403,-16.71314306,1991.25,379.21,-546.01,-1223.08,Sirius
קַאנוֹפּוּס,-0.62,6.399191842,-52.69571799,1991.25,10.43,19.99,23.67,Canopus
אַרְקְטוֹרוּס,-0.05,14.2612076,19.18726997,1991.25,88.85,-1093.45,-1999.4,Arcturus
אַ-קַנְטַאוֹרִי,-0.01,14.66136069,-60.83514707,1991.25,742.12,-3678.19,481.84,A-Centauri
וֶגַה,0.03,18.61560722,38.78299311,1991.25,128.93,201.02,287.46,Vega
קַפֶּלַה,0.08,5.278137678,45.99902927,1991.25,77.29,75.52,-427.13,Capella
רִיגֶ'ל,0.18,5.242297569,-8.20163919,1991.25,4.22,1.87,-0.56,Rigel
פְּרוֹקְיוֹן,0.4,7.655149463,5.22750767,1991.25,285.93,-716.57,-1034.58,Procyon
אַכְרְנַר,0.45,1.628542136,-57.23666007,1991.25,22.68,88.02,-40.08,Achernar
בִּיטֶלְג'וֹז,0.45,5.919524774,7.40703634,1991.25,7.63,27.33,10.86,Betelgeuse
הַדַר,0.61,14.0637346,-60.3729784,1991.25,6.21,-33.96,-25.06,Hadar
אַלְטַּהִיר,0.76,19.84630057,8.86738491,1991.25,194.44,536.82,385.54,Altair
אַקְרוֹקְס,0.77,12.44331706,-63.09905586,1991.25,10.17,-35.37,-14.73,A-crux
אַלְדֶבַּרַן,0.87,4.598666797,16.50976164,1991.25,50.09,62.78,-189.36,Alderbaran
סְפּיקַה,0.98,13.41989015,-11.16124491,1991.25,12.44,-42.5,-31.73,Spica
אַנְטַארֶס,1.06,16.49012987,-26.43194608,1991.25,5.4,-10.16,-23.21,Antares
פּוֹלוּקְס,1.16,7.755378842,28.02631031,1991.25,96.74,-625.69,-45.95,Pollux
פוֹמַלְהַאוּט,1.17,22.96078488,-29.62183701,1991.25,130.08,329.22,-164.22,Fomalhaut
מִימוֹסַה,1.25,12.79536636,-59.68873246,1991.25,9.25,-48.24,-12.82,Mimosa
דֶנֶבּ,1.25,20.69053151,45.28033423,1991.25,1.01,1.56,1.55,Deneb
ב-קַנְטַאוֹרִי?,1.35,14.66094189,-60.83947139,1991.25,742.12,-3600.35,952.11,B-Centauri?
רֶגוּלוּס,1.36,10.13957205,11.96719513,1991.25,42.09,-249.4,4.91,Regulus
אַדַרַה,1.5,6.977096301,-28.97208931,1991.25,7.57,2.63,2.29,Adhara
אַלְנִילַם (ח-צייד),1.69,5.603559048,-1.20191725,1991.25,2.43,1.49,-1.06,Alnilam
אַלְנִיטַק,1.74,5.679312448,-1.94257841,1991.25,3.99,3.99,2.54,Alnitak
מִינְטַקַה,2.25,5.533444375,-0.2990934,1991.25,3.56,1.67,0.56,Mintaka
ערפילית M42,4,5.588138889,-5.391111111,2000,,,,M42 Orion Nebula
M13 צביר,5.8,16.69478889,36.45986111,2000,,,,M13 Cluster
